Emp_No,Emp_Name,Salary,Age,Department
198,Donald,2600,29,IT
199,Douglas,2600,34,Sales
200,Jennifer,4400,36,Marketing
201,Michael,13000,32,IT
202,Pat,6000,39,HR
203,Susan,6500,36,Marketing
204,Hermann,10000,29,Finance
205,Shelley,12008,33,Finance
206,William,8300,37,IT
100,Steven,24000,39,IT
101,Neena,17000,27,Sales
102,Lex,17000,37,Marketing
103,Alexander,9000,39,Marketing
104,Bruce,6000,38,IT
105,David,4800,39,IT
106,Valli,4800,38,Sales
107,Diana,4200,35,Sales
108,Nancy,12008,28,Sales
109,Daniel,9000,35,HR
110,John,8200,31,Marketing
111,Ismael,7700,32,IT
112,Jose Manuel,7800,34,HR
113,Luis,6900,34,Sales
114,Den,11000,27,Finance
115,Alexander,3100,29,Finance
116,Shelli,2900,37,Finance
117,Sigal,2800,33,Sales
118,Guy,2600,36,HR
119,Karen,2500,32,Finance
120,Matthew,8000,30,HR
121,Adam,8200,39,HR
122,Payam,7900,36,Finance
123,Shanta,6500,35,Sales
124,Kevin,5800,33,Marketing
125,Julia,3200,35,Finance
126,Irene,2700,28,HR
127,James,2400,31,HR
128,Steven,2200,33,Finance
129,Laura,3300,38,IT
130,Mozhe,2800,28,Marketing
131,James,2500,36,Sales
132,TJ,2100,34,IT
133,Jason,3300,38,Sales
134,Michael,2900,29,Sales
135,Ki,2400,35,Marketing
136,Hazel,2200,29,IT
137,Renske,3600,26,Marketing
138,Stephen,3200,35,Sales
139,John,2700,36,Sales
140,Joshua,2500,29,Finance
